cleaned_text,sentiment_score,sentiment_label
berhenti kembangkan kilang balikpapan kilang dumai produksi bahan bakar hijau pertamina renewable diesel pertamax green sustainable aviation fuel energi bersih lestari,0,netral
motor pake subsidi bioetanol subsidi subsidi menyesatkan pejabat jelasjelas partai kalah pilpres belajar biar gampang tersesat,-1,negatif
kementerian esdm menargetkan penerapan kewajiban mandatori campuran bioetanol bahan bakar minyak diberlakukan 2028 bioetanol ditargetkan penggunaannya mntak bersubsidi rame orang kayak,0,netral
kilang cilacap dumai disiapkan green refinery produksi pertamax green sustainable aviation fuel energi bersih udara cerah,1,positif
yuppzzbioetanol bahan bakar terbarukan sumbernya limbah pertanian tetes tebu sisa jagungtapi bahan bakunya tanaman sengaja ditanam besarbesaran membuka lahan hutan emisi karbonnya,-1,negatif
malu garagara bensin etanol pengen resgin,-1,negatif
pertamina sesuaikan harga nonsubsidi sabtu november 2025 mengutip situs mypertamina harga pertamina dexlite harga pertamax pertamax turbo pertamax green contoh jakarta harga,0,netral
pertamina 14200 liter 14000 liter harga pertamax dibanderol 12200 pertamax green dibanderol 13000 pertamax turbo dibanderol 13100,0,netral
paham kekhawatiran insiden rendah pertamax kelemahan pengawasan pertamina tingkatkan profesionalisme audit independen teknologi sensor kualitas pelatihan operator bioetanol menambah manfaat,0,netral
bioetanol bodoh bodoh tebang hutan bikin pelet kayu pelet kayunya energi pltu,-1,negatif
pertamax aman mesin butuh oktan itukeduanya minim risiko knocking sesuai spek irit pertamax aditif bagus khawatir etanol varian bioetanol pertamax green,1,positif
manfaat jangka bioetanol sepadan biaya investasi pengurangan impor hemat miliaran dolar tingkatkan ketahanan energi sumber lokal tebu kurangi emisi 2050 dibanding bensin murni iklim tropis kerumitan,0,netral
bilang investasi krusial infrastruktur manfaat jangka bioetanol ketahanan energi mengurangi impor emisi bersih sepadan biaya investasi kerumitan teknis korosi aditif upgrade spbu iklim tropis,0,netral
berdasarkan info terbaru bersumber pertamina mengandung etanol pertamax green regulasi izinkan pakar bilang aman kendaraan pengaruh performa mesin keluhan brebet pertalite,0,netral
kebijakan bioetanol wajib dibarengi upgrade infrastruktur risiko korosi kontaminasi memburuk tangki spbu nonlogam fiberglass tahan korosi baja prosedur water draining harian ketat plus sensor deteksi,0,netral
kontaminasi foto sifat etanol higroskopis siklus suhu memperparah risiko kebijakan bioetanol wajib dibarengi upgrade infrastruktur tangki spbu nonlogam prosedur water draining harian ketat,-1,negatif
pertamax pertamax green pertamax turbo harga,0,netral
kebijakan etanol berlaku pertalite pertamax jalan pertamax green 2023 kalo etanol sengefek sampe bikin tangki rembes mestinya kasusnya muncul,-1,negatif
terlanjur pertamax green kemaren full tank aman langsung shell,1,positif
ethanol naikkan bahan bakar komprominya masing² mesin modern udah disesuaikan biar aman pakai campuran bioetanol mirai menarik banget infrastruktur hidrogennya,-1,negatif
indo nyuruh bahlil pake bensin etanol,-1,negatif
viralnya pertamax oplosan orang2 beralih pertalite subsidi bengkak pertamax laku muncul produk diklaim bagus pertamax green viral pertalite campur orang2 beralih pertamax green profit,-1,negatif
bikin mesin rusak bensin etanol dimasukin tangki spbu airnya,-1,negatif
pertalite ethanol pertamax green ethanol,-1,negatif
please kemarin pake pertamax green,-1,negatif
stop etanol etanol pertamax greenjangan campur etanol bbmnya,-1,negatif
pertamax green,0,netral
indonesia menerapkan skema flex fuel bensin campuran bensinetanol bensin pertamina dioplos kecampur akal busuknya bahlil komplotannya biar ngebabat hutan proyekan,-1,negatif
ntar antek bahll ikutan ngoplos bensin etanol,-1,negatif
motorku beat pertamax green aman ajasi motor mioe saudara brebet,1,positif
terimakasih berkat bensin etanol motor brebet,1,positif
pertamax turbo alva cervo alamat meledak pdhl mempengaruhi tingkat filtrasinya tingkat kebersihan bbmnya biar mesin tetep awet kalo bajerin pake pertamax green kandungan etanolnya canggih bajerinnya,-1,negatif
asli pake shell beralih pertamina pake pertamax turbo tarikan motor berasa berat coba pertamax green berat kmrn pake pertamax berat kacaulah kalo gini,-1,negatif
motorku nggae pertamax green aman nggae pertamax biasapertamax turbo mbrebet uabot tarikane,-1,negatif
tergantung mobil 1200cc kebanyakan pertalite 1500cc2000cc kebanyakan pertamax pertamax green 2000cc keatas kebanyakan pertamax turbo mobilmu,0,netral
gawe pertamax green aman,1,positif
ngisi pertamax green kayaknya jenis bensin bener plat merah irit kerasa kayak super beda oktan,-1,negatif
pertamax green sampah anjing bikin motor brebet,-1,negatif
indonesia kembangkan bioetanol campuran e5e20 energi bersih mandiri nonton videonya selesai,0,netral
oktober bnya iyak bioetanol minergi bocorin bioetanol tebu singkong jagung bioetanol bahan bakar nabati ramah lingkungan ningkatin performa mesin ngurangin emisi,-1,negatif
motorku mari pertamax green smoga aman kape ngisi bgtt bensinku sekarat,1,positif
2027 pemerintah pacu industri bioetanol sagu singkong sumber 2025 oktober sagu bahan baku murah bioetanol indonesia times indonesia,0,netral
gimana bensin etanol logistik merasakan solar alias oplos pake sawit truck sampe pake biji saringan solar ganti injektor turun tangki kabarnya pake,-1,negatif
pertamina merevitalisasi kilang balongan balikpapan pengembangan kilang cilacap dumai kilang hijau menghasilkan bahan bakar ramah lingkungan pertamina renewable diesel pertamax green pertamina sustainable aviation fuel,0,netral
pemerintah mengambil langkah serius memperkuat ketahanan energi nasional pengembangan energi terbarukan berbasis bioetanol upaya diharapkan mendukung kemandirian energi membuka peluang industri berbasis,1,positif
yongalah motor konsumen dadi ajur ngene pertamina ganti rugi sungguh terwelu group pake pertamax green aman mengandung,-1,negatif
mobil kompresi mesinnya banget butuh bensin minimal pertamax greenshell vpower,-1,negatif
kemaren motorku scoopy pake pertamax green aman sayangnya spbu pertamax green,-1,negatif
alhamdulillah engga sebulan full pertamax allah semoga sampe mbrebet gara2 bensin etanol,1,positif
malemnya beli pertalite warung madura udah tiris banget brebet pagi beli pertamax green harapan nyampur biar brebet ilang tetep kuras tanki ganti busi pertamax turbo langsung normal,-1,negatif
anjir nutupin berita bensin etanol,-1,negatif
varioku pertamax biasapertamax green karna spek mesine cocoke,1,positif
bobibos biofuel etanol selulosa jenis bioetanol generasi jerami padi fermentasi setara ramah lingkungan emisi,0,netral
biofuel pertamina meriset bioetanol generasi limbah minyak jelantah dirut pertamina memilih terbuka merangkul inovasi anak bangsa mengajak kolaborasi ketahanan energi transisi hijau,0,netral
tolong info spbu plat merah ready pertamax green spbu deket rumah stoknya habisn makasi,0,netral
bahan baku bobibos biofuel jerami padi penelitian internasional advances secondgeneration biofuel production from rice straw biofuels bioproducts biorefining 2025 wiley bahas kemajuan konversi jerami bioetanol bioethanol,0,netral
molase tetes tebu bahan multifungsi kandungan nutrisi lengkap menjadikannya bernilai pakan ternak bioetanol pupuk organik kosmetik molase terbukti produk strategis mendukung sektor industri,1,positif
stop rumor dengar gosip etanol bikin mesin cepet rusak dompet bolong mudah percaya guys potensi energi faktanya baca habis biar nggak salah info,-1,negatif
bioetanol,0,netral
outputnya etanol efisien bonggol jagung ampas tebu temen penelitiannya jerami utamanya pemecahan lignin sblm ddpt selulosa murni fermentasi bioetanol bibibos orang indo gampang hype,-1,negatif
bengkel pelanggan tokoku kebanjiran rejeki bensin oplosan kupikir udah mendingan parah deket toko rame bensin etanol baris pertalite antrian tiba2 pertalit kosongkan pertamax antrian puanjaang,-1,negatif
negara china memanfaatkan jerami padi biogas bioetanol india bioetanol fermentasi jepang produksi bioetanol eropa riset biofuel limbah pertanian,0,netral
asosiasi bioetanol segudang jelang mandatori,0,netral
disisi etanol bioetanol memiliki perbedaan masingmasing bioetanol diproduksi fermentasi bahanbahan organik tebu jagung singkong nabati etanol sintetis berasal bahan bakar fosil,0,netral
negaranegara kawasan toyota investasi strategi global mengamankan pasokan bahan bakar kendaraan flexfuel berbasis bioetanol pengurangan ketergantungan bahan bakar fosil impor,0,netral
mencakup pembangunan fasilitas pabrik berkapasitas 60000 kiloliter kota lampung nilai investasi rp25 triliun fasilitas pondasi mendukung kebijakan nasional membuka peluang ekspor bioetanol,0,netral
inovasi bidang energi toyota motor corporation dikabarkan berkolaborasi pertamina renewable energy pertamina pengembangan industri bioetanol indonesia dilansir rencana melebarkan industri,0,netral
jerami hasilkan bioetanol biogas bner abang e100 hasil hasilnya meragukan mesin diesel mesin bensin beda gmna e100,-1,negatif
etanol bangkit petani makmur energi rakyat,1,positif
etanol bangkit petani makmur energi rakyat,1,positif
bioetanol membuka peluang petani meraih cerah,0,netral
etanol bangkit petani makmur energi rakyat,1,positif
etanol bangkit petani makmur energi rakyat,1,positif
bioetanol membuka peluang petani meraih cerah,0,netral
transformasi energi berbasis etanol ramah lingkungan membawa dampak petani kenaikan permintaan tebu singkong diprediksi mendongkrak pendapatan puluhan juta rupiah hektare,0,netral
kebijakan mandatori etanol dinilai mengangkat ekonomi petani meningkatnya permintaan bahan baku petani singkong tebu diprediksi meraup penghasilan hektare,0,netral
program energi berbasis etanol membuka pintu kesejahteraan petani peningkatan kebutuhan tebu singkong nilai jual komoditas petani sejahtera,1,positif
penggunaan etanol campuran peluang petani lonjakan permintaan singkong tebu harga jual meningkat pendapatan petani menjanjikan,0,netral
kebijakan pencampuran etanol berpotensi meningkatkan pendapatan petani singkong tebu puluhan juta hektare permintaan bahan baku kesejahteraan petani terdorong,0,netral
pertamax green motor matic daeng,0,netral
awak pakai shell bahlul mentri esdm awak pertamax pertamax green aman pertamax green hemat,1,positif
tetes tebu emas cair etanol bantu petani raih penghasilan rp80 juta hektare,0,netral
etanol ramah lingkungan ramah kantong petani,-1,negatif
energi hijau dompet petani hijau etanol tingkatkan pendapatan rp80 jutaha,0,netral
ladang laboratorium petani energi bangsa etanol hadir membawa kesejahteraan,1,positif
etanol energi bersih sumber rezeki petani raup rp80 juta hektare,0,netral
pemerintah siapkan ribu lahan bioetanol sektor riil,0,netral
bioetanol heran warga konoha soksokan demo etanol pertlite ngejar benerbener etanol,-1,negatif
nemu pertamax green coba nder,0,netral
ngasih minum motornya bioetanol keropos fuel line,-1,negatif
ditunggu bobibos angkat bicara uniknya pertamina nggak koar langsung buka pintu kolaborasi konsepnya bobibos bioetanol pertamina bikin bagus lingkungan sebenrnya anti energi hijau,1,positif
ladang petani lahir energi etanol hadir lingkungan kesejahteraan rakyat,-1,negatif
harga tebu singkong pendapatan petani terdongkrak berkat kebijakan etanol,0,netral
pemerintah siapkan ribu hektare lahan tebu produksi etanol petani panen cuan energi hijau,0,netral
petani sejahtera kebijakan campuran etanol permintaan singkong tebu meningkat pesat,1,positif
etanol energi bersih energi menyejahterakan petani raup rp80 juta hektare,0,netral
ghes infokan kalo amit2 motor turun mesin gegara bensin etanol berapaan nyiapin duit kebengkel motor beneran gabisa dipake jalan anjer vario,-1,negatif
info spbu pertamax green malkot dimana,0,netral
petani raup juta hektar etanol ditetapkan campuran bahan bakar,0,netral
lihat komennya ngaku orang pintar tolol elot protes berbahan campur ethanol berbahan ethanol didukung bahan bakar tanaman menghasilkan bioetanol gini paham,-1,negatif
pertamax green dinilai capaian strategis pertamina,0,netral
terima kasih bantuannya bahan baku utama bobibos jerami padi melimpah indonesia diolah bioetanol ramah lingkunganinovasi cerdas kurangi limbah pertanian emisi karbon detail owner share,1,positif
ekonom senior kerja pertaminatoyota bioetanol langkah cerdas toyota,0,netral
lokasi strategis toyota pertamina pilih lampung produksi bioetanol nilai investasi tembus triliun,0,netral
bangun mobil toyota produksi bioetanol bareng pertamina lampung,0,netral
biaya produksi bioetanol jerami bobibos mahal berkisarrp rbltr bengkak fermentasidistilasinya langkah mahalamprumit pretreatment bongkar jerami amphidrolisis enzimatikutk ubah serat gula,-1,negatif
nggak dijegal pemerintah dijegal konsumennya mesin kendaraan diisi bioetanol murni cepat rusak korosi kemarin bahlil bilang biofuel ribut biofuel nggak bahaya mesin,-1,negatif
bahan bakar nabati biofuel bioetanol terbuat tanaman tebu jagung singkong jerami fermentasi proses kimia efek kendaraan 108120 tingkatkan performa mesin kurangi emisi campuran korosi,0,netral
indonesia alasan bensin etanol kontroversi notice,-1,negatif
pertamax green,0,netral
beli pertamax pertamax green nder pertalite takutnya resiko,-1,negatif
bahan bakar tumbuhan bioetanol bersifat higroskopis mudah menyerap udara memengaruhi kualitas disimpan pengujian pemurnian kestabilan bagus diuji,1,positif
menteri atrbpn nusron wahid pemerintah juta hektare lahan lokasi penanaman bahan baku bioetanol mendukung target mandatori bensin bioetanol 2027,0,netral
inti bahan mudah terbakar energi mesin bahan tumbuhan bioetanol jerami bobibos proses pemurniannya butuh energi teknologi hasil optimal coba minimal,-1,negatif
pabrik bioetanol,0,netral
bensin etanol merusak mesin mercy 1982 bertahan inggrisbensin india menghancurkannya ganti pompa bensin ganti injektor ganti diganti gara2 bensin campuran etanol membunuh mesin berjalan lancar,-1,negatif
urutan proses singkat pembuatan etanol jerami bioetanol selulosa pretreatment jerami diolah memecah lignoselulosa asam enzim hidrolisis selulosa diubah gula sederhana glukosa enzim,0,netral
jerami diproses etanol proses hidrolisis selulosa glukosa difermentasi bioetanol selulosa jerami padi teknologi dikembangkan indonesia proyek bobibos inovasi parfum berbasis,0,netral
pemerintah siapkan lampung kawasan industri bioetanol toyota invest,0,netral
produksi bioenergi picu sosialekologis ekspansi bioetanol brasil diklaim transisi energi bersih memicu deforestasi hutan amazon menurunkan kualitas hidup warga emisi produksi tebu bahan,0,netral
kementerian esdm menargetkan penerapan bahan bakar campuran etanol persen 2028 cepat baca selengkapnya,0,netral
kementerian esdm menargetkan penerapan bahan bakar campuran etanol persen 2028 cepat baca selengkapnya,0,netral
pemerintah siapkan lampung kawasan industri bioetanol,0,netral
program mandatori ditargetkan 2027 apsendo enam tantangan,0,netral
harga bahan bakar nabati berfluktuasi skema insentif jangka investasi sektor bioetanol menarik,0,netral
raksasa industri automotive jepang masuk investasi bangun pabrik bioetanol lampung,0,netral
gandeng pertamina toyota bangun pabrik bioetanol lampung,0,netral
program campur etanol pengusaha bioetanol curhat,0,netral
extraordinary class energi terbarukan peran saka nasional 2025 pecah ratusan peserta peran saka seindonesia belajar langsung potensi energi hijau tangan generasi muda tonton dokumentasi lengkapnya,0,netral
inisiatif indonesia diproyeksikan basis produksi bioetanol kawasan asia potensi memperluas pasar ekspor toyota menilai pengembangan bioetanol indonesia strategis didukung potensi agrikultur sumber daya,0,netral
toyota motor corp berencana menanamkan investasi senilai rp25 triliun mengembangkan ekosistem bioetanol indonesia langkah sejalan kebijakan pemerintah menerapkan mandatori bahan bakar campuran etanol 2027 proyek,1,positif
pertamax green habis gila banget dikirim pasokan pertamax green,1,positif
bioetanol hadir bahan bakar ramah lingkungan membawa selangkah indonesia mandiri energi bersih berkelanjutan perkembangan bioetanol lengkapnya,1,positif
bioetanol halo bilang bensin eksplorasi fosil energi tumbuh ladang,-1,negatif
pertamina kaji keberhasilan brasil produksi bioetanol,0,netral
berdasarkan penelitian biaya produksi bioetanol jerami padi berkisar 500015000 liter tergantung teknologi skala lokasi keekonomian butuh subsidi kompetitif bensin 10000l klaim murah verifikasi,0,netral
berdasarkan penelitian hasil maksimal bioetanol jerami padi capai 300400 lton pretreatment popping lton konversi 30004000 biooil pirolisis maks yield lton 3580,0,netral
jerami diubah biofuel bioetanol biooil proses fermentasi hidrolisis pirolisis hasil tipikal jeramiha hasilkan 10003000l tergantung teknologi klaim spesifik 3000l bobibos oktan gt98 murah terdengar optimis,0,netral
toyota bangun pabrik bioetanol lampung nilai investasi triliun,0,netral
bilang setuju bioetanol baguslah diproduksi mobil cocok bioetanol ramah lingkungan salah info mobil umurnya bertebaran indonesia,-1,negatif
apanya fomo dibaca melek tulis ethanol bioethanol kualitas murah bahan baku proses pembuatan mempengaruhi kualitas bioetanol dihasilkan pertamina turun performa turun inovasi blok,-1,negatif
bensin etanol bang,-1,negatif
hijaukan hulu brantas pertamax green komitmen pertamina patra niaga mendukung energi bersih menjalar akar bumi program thousand trees brantas pembelian liter pertamax green menanam pohon,1,positif
guys hati hati konten kaya gini simak sebenernya bobibos bioetanol lohhhh,-1,negatif
hati hati konten kaya gini simak sebenernya bobibos bioetanol,-1,negatif
hati hati konten kaya gini simak sebenernya bobibos bioetanol,-1,negatif
info resmi bobibos minim estimasi biofuel jarakkemiri biaya produksi rp67rbliter turun skala subsidi kayu butuh kgliter bioetanol harga mentah rp12rbkg bahan baku rp614rbliter biaya proses,0,netral
pertamax green emang pertamax dicampur bioetanol bikin ronnya ramah lingkungan performa mesin modern spesifikasi motor,1,positif
pertamax green adalaha pertamax tambahan etanol,0,netral
motorku beat anyar 2024 isok nggawe pertamax green pertamax,0,netral
infonya pertamina nder,0,netral
pemerintah targetkan mandatori 2027 dorong kemandirian energi kurangi impor bensin baca link,0,netral
toyota bangun ekosistem bioetanol indonesia lampung disiapkan pioneer project,0,netral
guysg sidoarjo surabaya pertamax green dimana,0,netral
spbu kode pertamax green lihat,0,netral
sidoarjo surabaya pertamax green dimana,0,netral
bensin etanol diuji sampe,-1,negatif
pertamina patra niaga tanam 1000 pohon hulu brantas program pertamax green aksi transisi energi pelestarian lingkungan,0,netral
pertamina persero tanggapi kabar kerjasama anak usahanya pertamina renewable energy toyota motor corporation kembangkan proyek bioetanol lampung dirut pertamina simon aloysius mantiri ungkapkan rencana tahap penjajakan kajian,0,netral
mantap toyota pertamina bangun pabrik bioetanol senilai triliun lampung,1,positif
pemerintah mendukung toyota menjadikan indonesia basis produksi bioetanol global mendukung transisi energi transportasi,1,positif
surprisingly pakai pertamax green kemarinkemarin enak kalo emang brengsek diputaran rendah kadang brebet kalo barang bagus engga brebet ilang sulit trust issue pokoknya merah,-1,negatif
toyota gandeng pertamina bangun pabrik bioetanol lampung bahan baku singkong tebu sawit baca,0,netral
toyota siapkan investasi triliun kembangkan industri bioetanol lampung,0,netral
biaya produksi bioetanol murni indonesia rp1400016000 liter berdasarkan terkini tambahan distribusi spbu adaptasi infrastruktur tangki antikorosi total rp15001600 liter subsidi,0,netral
ujung ujungnya bioetanol,-1,negatif
toyota lirik proyek industri bioetanol lampung investasi capai rp25 triliun berita lengkap baca,0,netral
unesa ketintang mending ngisi pertamax green minusnya bensin pertamax green,-1,negatif
kebijakan mandatori indonesia bertujuan mengurangi ketergantungan impor fosil mendukung energi terbarukan bioetanol tebu singkong lokal menekan emisi karbon pemerintah targetkan implementasi bertahap transisi aman standar,0,netral
video toyota investasi bioetanol indonesia,0,netral
pertamina toyota sinergi kembangkan industri bioetanol,0,netral
pertamina kembangkan bioetanol aren,0,netral
pertamina rencana kembangkan bioetanol gula aren,0,netral
pemerintah dukung toyota jadikan basis bioetanol,0,netral
toyota incar proyek bioetanol lampung rp25 60000,0,netral
anying motor pertamax green bahlil,-1,negatif
toyota lirik proyek industri bioetanol lampung investasi capai rp25 triliun baca,0,netral
amannya kalo pertamina beli pertamax green kalo motor aman nggak gede kayak pertamax turbo kalo aman lagii beli wkwkwkwk,-1,negatif
bioetanol mesin wajib sesuai spesifikasi bioetanol sendri mesin skrg bioetanol berkerak berkarat solusinya mesti beli mobil toyota laris mobil,-1,negatif
target produksi 60000 kltahun proyek langkah signifikan energi terbarukan ekonomi hijau bioetanol cuman energi bersih revolusi ekonomi akar rumput menggeser ekonomi oligarki tangan petani,-1,negatif
pertamina gandeng toyota produksi 60000 bioetanol aktor utama energi bergeser petani gini perkembangan terbaru persiapan menyambut energi terbarukan pertamina lampung bareng toyota meluncurkan proyek bioetanol,0,netral
langkah nyata menteri esdm bahlil lahadalia menekan impor memperkuat kolaborasi sektor publikswasta mendorong energi bersih berbasis bioetanol,0,netral
sumber detikfinance,0,netral
menteri esdm bahlil lahadalia menekankan efisiensi impor pengembangan energi domestik bioetanol wujudkan kemandirian energi nasional,0,netral
pertamina kembangkan bioetanol gula aren energi bersih,0,netral
toyota siapkan investasi rp25 triliun bangun pabrik bioetanol lampung,0,netral
merauke negara buka juta hutan jakarta sawah tebu bioetanol dokumen namanya proyek strategis nasional lapangan pembantaian hutan rawa gambut bahasa halusnya pembangunan bahasa jujurnya perusakan dilegalkan,-1,negatif
toyota motor corporation menanamkan investasi senilai rp25 triliun membangun pabrik bioetanol lampung pertamina proyek langkah pengembangan energi hijau berbasis biomassa nonpangan limbah pertanian tebu singkong sorgum,0,netral
senada suzuki mitsubishi mobil bensin dipasarkan bioetanol campuran persen,0,netral
toyota investasi bioetanol indonesia,0,netral
arti ngisi bensin etanol arti etanol bahlil,-1,negatif
wamen investasi toyota lihat peluang kembangkan bioetanol,0,netral
penerapan bioetanol dikhawatirkan masyarakat informasi kunjungi website ikuti sosial media ytxtt jawaupdate igfb jawaupdatecom,0,netral
harga indeks pasar bioetanol november 2025 ditetapkan 9013 liter,0,netral
guru tanggapi kebijakan campuran bioetanol,0,netral
ketua gabungan industri kendaraan listrik indonesia gailindo masyarakat memakai bioetanol persen sekian terima angpau,0,netral
temenku kasian ditonyor random grgr dikiranya gamau antri pertamax pdhl temennku pakenya pertamax green,-1,negatif
pake pake pertamax green krna anxious bengsing sisa takut mutut,-1,negatif
pertamax green kosong,-1,negatif
b4hlil ngehina bities selesai permasalahan bensin etanol oplosan,-1,negatif
wakil menteri investasi hilirisasiwakil kepala bkpm melaksanakan kunjungan kerja jepang memperkuat kolaborasi investasi sektor energi hijau bioetanol industri otomotif berkelanjutan,0,netral
ahli risiko bahan bakar bioetanol komponen kendaraan,0,netral
pertamax green,0,netral
proyek deforestasi terbesar dunia indonesia hutan papua kalimantan ditebang bioetanol gula pangan,0,netral
proyek deforestasi terbesar dunia indonesia hutan papua kalimantan ditebang bioetanol gula pangan,0,netral
proyek deforestasi terbesar dunia indonesia hutan papua kalimantan ditebang bioetanol gula pangan,0,netral
asyarakat adat korban kriminalisasi merauke hutan adat suku malind anim target proyek tebu bioetanol seluas 637420 parahnya masyarakat adat marga kwipalo membela tanahnya dikriminalisasi pelaku kejahatan lingkungan bebas,-1,negatif
fomo cari aman beli based fuel pertamina diracik motorku kuisi pertamax green bensin spbu swasta kosong kemarin kuisi tarikan motor beda banget,-1,negatif
harga indeks pasar bioetanol indonesia november 2025 9013 liter kementerian esdm turun oktober 9263liter harga bervariasi tergantung penggunaan bahan bakar industri,0,netral
bioetanol pakar beberkan hasil penelitiannya,0,netral
pertamina memasarkan bioetanol pertalite pertamina campuran bioetanol persen,0,netral
sekalipaling bioetanol overproud siap2 mesin kendaraan jebol,-1,negatif
buktikan pembatalan bensin etanol pembukaan akses bensin swasta omon² kalo dianulir namanya kebijakan berpihak rakyat,-1,negatif
kondisi ekonomi kaya mesin dikasih bensin etanol kalo salah rusak mesin jalan nunggu mesin satunya dibenerin,-1,negatif
langkah menekan spbu swasta berhasil menghilangkan pertalite perlambat pengiriman warga takut pertamax karna korban warga beralih pertamax green langsung subsidi hilang ditelan,1,positif
berbahan tumbuhan bioetanol biodiesel temuan merevisi temukan,0,netral
